Year,Material
1516,Oil on woo
1516,Woodcut
1516,Woodcut
1516,Bronze//me
1516,Etching (i
1516,Woodcut
1516,Woodcut
1516,Oil on pan
1516,Engraving
1516,Engraving
1516,Bronze//me
1516,Woodcut
1516,Etching (i
1516,Woodcut
1516,Woodcut
1516,Bound volu
1517,Engraving
1517,Engraving 
1517,Engraving
1517,Engraving
1517,Engraving
1517,Red chalk 
1517,Engraving
1517,Engraving
1517,Oil on pan
1517,Woodcut
1517,Woodcut
1517,Engraving
1518,Oil on can
1518,Engraving
1518,Bound volu
1518,Woodcut
1518,Engraving
1518,Engraving
1518,Engraving
1518,Engraving
1518,Engraving
1518,Oil on pan
1519,Engraving
1519,Woodcut pr
1519,Woodcut
1519,Engraving
1519,Engraving
1519,Woodcut
1519,Engraving
1519,Engraving
1519,Engraving
1519,Woodcut
1519,Woodcut
1520,Boxwood
1520,Bronze
1520,Engraving
1520,Woodcut
1520,Pen and br
1520,Engraving
1520,Engraving
1520,Oil on can
1520,Tin-glazed
1520,Engraving
1520,Chiaroscur
1520,Engraving
1520,Etching
1520,Pen and br
1520,Oil on pan
1520,Engraving
1520,Engraving
1520,Fresco
1520,Pen and br
1520,Engraving
1520,Fresco
1520,Engraving
1520,Etching
1520,Pen and br
1520,Engraving
1520,Engraving
1520,Woodcut
1520,Oil on pan
1520,Engraving
1520,Etching an
1520,Oil on pan
1520,Engraving
1520,Engraving
1520,Engraving 
1520,Etching on
1520,Engraving
1521,Porcelain 
1521,Engraving
1521,Engraving
1521,Woodcut
1521,Woodcut
1521,Engraving
1521,Woodcut on
1521,Engraving
1522,Oil on can
1522,Woodcut
1522,Woodcut
1522,Woodcut on
1522,Woodcut on
1522,Woodcut
1522,Woodcut
1522,Woodcut
1523,Pen and br
1523,Pen and br
1523,Oil on pan
1523,Engraving
1523,Woodcut
1523,Engraving
1523,Woodcut
1523,Black chal
1523,Engraving
1523,Engraving
1523,Pen and bl
1524,Engraving
1524,Engraving
1524,Engraving 
1525,Engraving
1525,Woodcut
1525,Bronze//ve
1525,Engraving
1525,Engraving
1525,Engraving 
1525,Oil on can
1525,Chiaroscur
1526,Woodcut
1526,Woodcut
1526,Lead
1526,Engraving
1526,Woodcut
1526,Lead
1526,Black chal
1527,Oil on pan
1527,Oil on pan
1527,Oil on pan
1528,Engraving
1528,Pen and br
1528,Engraving
1529,Engraving
1529,Engraving
1529,Engraving
1529,Engraving
1529,Engraving
1529,Engraving
1530,Gilt on br
1530,Pen and br
1530,Engraving
1530,Chiaroscur
1530,Engraving
1530,Oil on pan
1530,Woodcut fr
1530,Oil on pan
1530,Base silve
1530,Woodcut
1530,Engraving
1530,Engraving
1530,Oil on pan
1530,Oil on pan
1530,Woodcut
1530,Chiaroscur
1530,Woodcut pr
1530,Oil on pan
1530,Engraving
1530,Woodcut on
1530,Pen and br
1530,Woodcut on
1530,Engraving
1530,Engraving
1530,Engraving
1531,Oil on can
1531,Red chalk
1532,Oil on pan
1532,Bronze
1532,Bronze//da
1533,Engraving
1533,Engraving
1534,Woodcut
1534,Woodcut
1534,Woodcut
1534,Woodcut
1534,Engraving
1535,Oil on can
1535,Pen and bl
1535,Oil on har
1535,Pen and br
1535,Engraving
1536,Engraving
1536,Engraving
1536,Woodcut
1536,Oil on wal
1537,Oil on pan
1537,Engraving
1537,Bronze
1537,Silver//wi
1537,Engraving
1537,Engraving
1537,Bronze
1538,Oil on pan
1539,Engraving 
1539,Etching
1539,Tin-glazed
1539,Pen and br
1540,Oil on pan
1540,Oil on can
1540,Etching
1540,Woodcut
1540,Etching
1540,Pen and bl
1540,Etching
1540,Pen and br
1540,Etching
1540,Oil on can
1540,Engraving 
1540,Etching wi
1540,Woodcut
1540,Engraving
1540,Etching
1541,Oil and te
1541,Bronze
1541,Engraving
1541,Engraving
1541,Engraving
1541,Bronze
1542,Oil on can
1542,Oil on can
1542,Engraving 
1542,Engraving
1542,Engraving
1542,Engraving
1542,Engraving 
1542,Oil on can
1542,Engraving
1543,Engraving
1543,Engraving
1543,Engraving
1544,Engraving
1544,Engraving
1544,Engraving
1544,Engraving
1544,Engraving 
1544,Woodcut
1545,Engraving 
1545,Pen and bl
1545,Pen and br
1545,Oil on pan
1545,Engraving
1545,Etching
1545,Etching
1545,Etching on
1545,Wax on cop
1545,Engraving
1545,Etching
1545,Engraving
1545,Engraving 
1545,Etching
1545,Etching
1545,Engraving
1545,Etching on
1545,Oil on can
1546,Etching on
1546,Engraving
1546,Etching
1546,Engraving
1546,Engraving
1546,Engraving
1546,Woodcut
1546,Etching on
1546,Engraving
1546,Etching on
1546,Engraving
1546,Engraving
1546,Engraving
1546,Engraving 
1546,Pen and bl
1546,Engraving
1546,Engraving
1546,Engraving
1546,Etching
1546,Engraving
1547,Etching
1547,Etching
1547,Engraving
1547,Etching
1547,Engraving
1547,Etching
1547,Etching
1547,Etching
1547,Etching
1547,Etching
1547,Etching
1547,Etching an
1547,Etching
1547,Etching
1547,Pen and bl
1547,Etching
1547,Etching
1548,Etching
1548,Etching
1548,Etching
1548,Engraving
1548,Etching
1548,Etching
1548,Etching
1548,Etching
1548,Etching
1548,Etching
1548,Etching
1548,Etching
1548,Etching
1548,Etching
1548,Etching
1548,Etching
1548,Woodcut on
1548,Bronze
1548,Etching
1548,Etching
1549,Engraving
1549,Pen and br
1549,Etching
1549,Engraving
1549,Etching
1549,Etching
1549,Etching
1549,Engraving
1549,Engraving
1550,Swatow war
1550,Gold with 
1550,Oil on pan
1550,Undyed woo
1550,Etching on
1550,Bronze//me
1550,Etching on
1550,Engraving
1550,Bronze
1550,Etching on
1550,Undyed woo
1550,Oil on pan
1550,Etching on
1550,Engraving 
1550,Etching on
1550,Oil on pan
1550,Pen and in
1550,Engraving
1550,Etching on
1550,Etching on
1550,Red chalk 
1550,Enameled g
1550,Etching on
1550,Walnut
1550,Woodcut on
1550,Etching on
1551,Wood with 
1551,Engraving
1551,Etching//c
1551,Etching on
1551,Roman type
1551,Etching//c
1552,Oil on can
1552,Etching
1552,Engraving
1552,Pen and bl
1552,Etching
1552,Bronze//la
1553,Etching
1553,Pen and br
1553,Bronze
1553,Bronze rel
1553,Pen and br
1553,Etching
1554,Etching
1554,Woodcut
1555,Oil on can
1555,Oil on can
1555,Engraving
1555,Black chal
1555,Etching
1555,Etching an
1555,Chiaroscur
1555,Etching
1555,Red chalk 
1555,Etching an
1555,Etching an
1555,Etching
1555,Etching
1556,Etching
1556,Engraving
1556,Engraving
1556,Engraving
1557,Oil on can
1557,Oil on can
1557,Engraving 
1557,Pen and bl
1557,Etching an
1558,Engraving
1558,Etching
1558,Engraving
1558,Etching
